product_id,product_title,merchant_id,category_label,product_code,number_of_views,merchant_rating,listing_date
6233,MacBook 17 M7 chip,695,Laptops,PRD006233,40268,3.9,2024-04-26
13353,Nokia T5 Tablet,983,Tablets,PRD013353,20358,3.1,2025-09-03
29676,Philips 3 Inch Ambilight TV,684,TVs,PRD029676,9118,4.6,2024-12-19
15216,Huawei MatePad 8 Pro,266,Tablets,PRD015216,30508,3.3,2024-08-14
2426,Motorola Moto G13,564,Mobile Phones,PRD002426,44155,4.0,2025-05-16
9310,HP Pavilion 5 AMD Ryzen 9,877,Laptops,PRD009310,30588,4.4,2024-04-17
16603,TCL TAB 6 WiFi,735,Tablets,PRD016603,3300,4.0,2025-12-30
10382,Jabra Elite 15,909,Headphones,PRD010382,1303,3.4,2025-04-18
39450,Razer BlackWidow 2 Keyboard,269,Computer Accessories,PRD039450,31076,3.9,2025-10-20
38177,Razer BlackWidow 13 Keyboard,341,Computer Accessories,PRD038177,31982,3.4,2025-04-16
38440,Corsair K9 RGB Keyboard,890,Computer Accessories,PRD038440,20462,4.7,2025-03-10
1879,Motorola Moto G10,474,Mobile Phones,PRD001879,40110,3.6,2024-02-04
23382,Canon PowerShot G8 Mark II,837,Cameras,PRD023382,26839,4.6,2024-09-26
24528,Canon PowerShot G4 Mark II,512,Cameras,PRD024528,38067,3.6,2025-05-19
32572,PlayStation 14 Console,543,Gaming Consoles,PRD032572,1706,3.2,2025-06-26
2043,Xiaomi Redmi A22 1TBGB,491,Mobile Phones,PRD002043,34135,4.9,2024-04-13
14424,Samsung Galaxy Tab 12 1TBGB,266,Tablets,PRD014424,32345,3.6,2025-12-17
25371,Canon PowerShot G3 Mark II,921,Cameras,PRD025371,21824,4.0,2025-11-03
15170,Nokia T2 Tablet,788,Tablets,PRD015170,3512,4.4,2025-04-10
1550,Nokia 11 Dual SIM,780,Mobile Phones,PRD001550,45707,3.7,2025-10-28
21769,Fitbit Versa 7,812,Smartwatches,PRD021769,537,3.4,2025-03-26
9480,MacBook 5 M3 chip,869,Laptops,PRD009480,43984,3.3,2025-03-15
16045,Xiaomi Pad 1,134,Tablets,PRD016045,33166,3.3,2025-06-19
39514,Seagate 2TB External Hard Drive,587,Computer Accessories,PRD039514,38687,4.5,2024-09-11
20723,Huawei Watch GT 1,547,Smartwatches,PRD020723,12956,4.5,2024-08-28
11601,Samsung Galaxy Buds12,948,Headphones,PRD011601,12859,3.4,2024-11-20
31430,PlayStation 1 Slim,707,Gaming Consoles,PRD031430,33376,3.1,2024-04-02
37453,Belkin USB-C Hub 11,538,Computer Accessories,PRD037453,16609,4.6,2024-12-06
14420,Lenovo Tab MA12 256GB,236,Tablets,PRD014420,18869,4.6,2024-07-08
36356,Marshall Emberton Speaker,954,Speakers,PRD036356,42866,3.3,2024-04-22
16632,Huawei MatePad 2 Pro,671,Tablets,PRD016632,38913,4.8,2024-04-02
23781,Olympus OM-D E-M1,303,Cameras,PRD023781,35581,3.6,2024-09-03
39768,Razer BlackWidow 5 Keyboard,312,Computer Accessories,PRD039768,24480,4.7,2025-02-12
38543,SanDisk Ultra 11GB USB,359,Computer Accessories,PRD038543,17871,3.7,2024-03-10
37503,TP-Link Archer 3 WiFi Router,134,Computer Accessories,PRD037503,36305,4.1,2025-02-02
33370,JBL Flip 7 Bluetooth Speaker,101,Speakers,PRD033370,15490,3.9,2024-02-22
39855,TP-Link Archer 2 WiFi Router,417,Computer Accessories,PRD039855,21912,4.6,2024-08-01
28267,Sony BRAVIA 15 Inch LED,889,TVs,PRD028267,40805,4.4,2025-12-14
33066,Sonos One (Gen 8),292,Speakers,PRD033066,44657,4.3,2024-06-12
5726,Surface Laptop 7,608,Laptops,PRD005726,20585,3.6,2024-05-03
31421,Steam Deck 6GB,566,Gaming Consoles,PRD031421,37603,3.7,2025-04-28
28858,Samsung 10 Inch 4K Smart TV,785,TVs,PRD028858,43882,3.2,2024-01-29
11092,JBL Tune 15 Wireless,632,Headphones,PRD011092,33995,4.8,2024-12-05
14514,Lenovo Tab M13 512GB,623,Tablets,PRD014514,1411,4.6,2024-04-07
35618,JBL Flip 6 Bluetooth Speaker,167,Speakers,PRD035618,12877,3.0,2025-07-27
20793,Garmin Forerunner 5,936,Smartwatches,PRD020793,46307,3.2,2024-01-21
23661,Sony Alpha 3 Mirrorless,491,Cameras,PRD023661,27390,3.6,2025-11-28
31604,Retro Gaming Console 3,321,Gaming Consoles,PRD031604,14252,3.5,2024-08-21
12487,JBL Tune 13 Wireless,830,Headphones,PRD012487,19960,4.2,2025-09-08
28801,TCL 12 Inch QLED Android TV,485,TVs,PRD028801,7973,4.2,2024-11-03
32088,PlayStation 2 Slim,876,Gaming Consoles,PRD032088,25761,4.4,2025-07-09
36288,Bang & Olufsen Beosound 6,257,Speakers,PRD036288,40157,4.9,2024-08-10
4018,Motorola Moto G9,681,Mobile Phones,PRD004018,16731,5.0,2025-05-30
34614,Sony SRS-XB3 Wireless,133,Speakers,PRD034614,42722,3.2,2024-10-28
10263,Lenovo ThinkPad 17 Intel i5,915,Laptops,PRD010263,38133,3.2,2024-04-29
5955,ASUS VivoBook 17 AMD Ryzen 9,186,Laptops,PRD005955,39574,3.1,2025-11-02
10992,JBL Tune 10 Wireless,920,Headphones,PRD010992,37484,4.1,2024-02-29
17171,TCL TAB 15 WiFi,991,Tablets,PRD017171,34285,3.7,2025-03-30
22761,GoPro HERO14,806,Cameras,PRD022761,48925,4.9,2025-06-20
31422,Nintendo Switch Lite,289,Gaming Consoles,PRD031422,16625,3.9,2025-04-06
4277,Samsung Galaxy 12 256GB,779,Mobile Phones,PRD004277,7730,5.0,2024-01-20
28676,Hisense 4 Inch 4K UHD,497,TVs,PRD028676,5372,4.4,2024-04-17
10381,Beats Studio 3,862,Headphones,PRD010381,43901,4.4,2024-03-20
38805,HP LaserJet Pro M2 Printer,100,Computer Accessories,PRD038805,26085,3.6,2024-08-01
4693,Realme 2 Pro,339,Mobile Phones,PRD004693,6545,4.9,2025-09-20
14124,Nokia T1 Tablet,961,Tablets,PRD014124,15235,4.5,2024-11-16
9305,Razer Blade 5 Gaming,259,Laptops,PRD009305,32418,4.1,2025-09-27
32994,Harman Kardon Onyx 15,711,Speakers,PRD032994,45999,3.9,2024-01-12
26055,Toshiba 13 Inch Smart TV,737,TVs,PRD026055,4812,4.3,2024-05-29
30431,PlayStation 1 Console,705,Gaming Consoles,PRD030431,22132,3.8,2024-03-06
26210,TCL 7 Inch QLED Android TV,255,TVs,PRD026210,9029,4.1,2024-04-10
39216,Belkin USB-C Hub 15,465,Computer Accessories,PRD039216,48631,3.5,2025-11-16
39237,Dell UltraSharp 9inch Monitor,122,Computer Accessories,PRD039237,30159,3.9,2025-01-04
28548,Philips 1 Inch Ambilight TV,180,TVs,PRD028548,15674,4.1,2025-05-08
36876,SanDisk Ultra 11GB USB,223,Computer Accessories,PRD036876,14787,4.9,2024-05-30
29463,Panasonic 9 Inch LED TV,102,TVs,PRD029463,22612,3.1,2025-01-14
15978,iPad A32 256GB WiFi,747,Tablets,PRD015978,48076,3.9,2025-01-15
31697,Sega Genesis Mini,549,Gaming Consoles,PRD031697,35069,4.9,2025-04-06
23251,GoPro HERO14,495,Cameras,PRD023251,3546,3.3,2025-12-02
23110,Canon EOS 4 Digital Camera,710,Cameras,PRD023110,5100,3.6,2024-04-26
15934,Lenovo Tab M12 512GB,610,Tablets,PRD015934,8725,3.3,2024-12-17
2033,Samsung Galaxy 11 64GB,908,Mobile Phones,PRD002033,45657,4.2,2025-11-07
2670,Realme 14 Pro,500,Mobile Phones,PRD002670,25000,3.4,2024-11-26
31451,Nintendo Switch 11,940,Gaming Consoles,PRD031451,14436,4.7,2025-01-11
18739,Xiaomi Mi Watch,807,Smartwatches,PRD018739,33729,3.5,2025-10-29
21370,Xiaomi Mi Watch,902,Smartwatches,PRD021370,47989,3.7,2024-11-28
1686,Motorola Moto G12,596,Mobile Phones,PRD001686,49784,4.0,2024-12-14
7427,MSI Gaming Laptop GF12,138,Laptops,PRD007427,16239,3.4,2025-08-14
30387,Nintendo Switch Lite,714,Gaming Consoles,PRD030387,36040,4.0,2024-03-20
21283,Huawei Watch GT 9,533,Smartwatches,PRD021283,45224,4.0,2024-03-11
25675,Panasonic 9 Inch LED TV,510,TVs,PRD025675,42785,4.5,2024-12-28
10149,Razer Blade 7 Gaming,867,Laptops,PRD010149,22474,4.9,2025-08-15
4288,iPhone 13 512GB,306,Mobile Phones,PRD004288,4928,3.2,2025-06-17
36156,Anker Soundcore 14,698,Speakers,PRD036156,48728,3.7,2024-08-07
1734,iPhone X20 512GB,376,Mobile Phones,PRD001734,40825,4.2,2025-08-13
23442,GoPro HERO5,113,Cameras,PRD023442,45997,4.1,2025-04-20
29277,Sony BRAVIA 12 Inch LED,471,TVs,PRD029277,1295,3.6,2025-11-29
4193,Xiaomi Redmi A32 128GB,613,Mobile Phones,PRD004193,40750,4.6,2025-02-13
19408,Xiaomi Mi Watch,121,Smartwatches,PRD019408,1440,3.3,2025-06-14
33288,Bang & Olufsen Beosound 2,302,Speakers,PRD033288,40897,3.0,2024-03-11
15682,TCL TAB 11 WiFi,648,Tablets,PRD015682,16550,3.3,2024-10-27
22697,Canon EOS 9 Digital Camera,747,Cameras,PRD022697,38368,4.4,2025-10-22
17242,Xiaomi Pad 15,219,Tablets,PRD017242,19065,4.2,2024-07-14
38933,Seagate 8TB External Hard Drive,692,Computer Accessories,PRD038933,28010,3.3,2025-03-21
39736,Seagate 15TB External Hard Drive,615,Computer Accessories,PRD039736,18274,3.3,2024-05-25
18977,Garmin Forerunner 12,961,Smartwatches,PRD018977,40554,4.7,2024-09-28
16694,iPad 13 512GB WiFi,247,Tablets,PRD016694,36752,4.6,2025-12-12
37558,Dell UltraSharp 7inch Monitor,898,Computer Accessories,PRD037558,12483,4.0,2024-05-29
27066,Philips 14 Inch Ambilight TV,768,TVs,PRD027066,46705,4.9,2025-09-20
35124,Sonos One (Gen 2),753,Speakers,PRD035124,36276,4.8,2025-04-10
22117,Xiaomi Mi Watch,496,Smartwatches,PRD022117,14714,4.0,2025-04-09
35081,Bose SoundLink 4 Speaker,739,Speakers,PRD035081,48454,3.8,2025-02-04
13435,iPad 15 32GB WiFi,903,Tablets,PRD013435,35847,4.4,2024-06-27
36165,Bose SoundLink 8 Speaker,929,Speakers,PRD036165,44396,5.0,2024-01-14
28778,Samsung 2 Inch 4K Smart TV,565,TVs,PRD028778,23624,4.4,2025-07-24
23138,DJI Pocket 10 Gimbal Camera,123,Cameras,PRD023138,9573,3.5,2025-04-09
12396,Samsung Galaxy Buds8,159,Headphones,PRD012396,46371,3.6,2025-09-17
17624,TicWatch Pro 6,472,Smartwatches,PRD017624,42067,4.9,2025-07-10
8579,Acer Aspire 9 Intel Core i9,574,Laptops,PRD008579,24464,4.4,2024-02-04
9537,ASUS VivoBook 11 AMD Ryzen 3,152,Laptops,PRD009537,37512,3.8,2025-12-02
6478,Lenovo ThinkPad 13 Intel i7,457,Laptops,PRD006478,36230,3.0,2024-02-10
1471,Google Pixel 15,988,Mobile Phones,PRD001471,45379,4.8,2024-09-01
5918,Lenovo ThinkPad 3 Intel i5,187,Laptops,PRD005918,42055,4.0,2024-06-11
9957,Dell Inspiron 5 Intel Core i9,946,Laptops,PRD009957,9907,4.2,2025-02-01
21892,Xiaomi Mi Watch,103,Smartwatches,PRD021892,47675,4.9,2025-02-14
18126,Xiaomi Mi Watch,595,Smartwatches,PRD018126,4141,4.0,2025-06-29
19451,Huawei Watch GT 8,650,Smartwatches,PRD019451,35081,3.5,2025-03-01
23120,Canon EOS 14 Digital Camera,110,Cameras,PRD023120,19799,3.8,2024-11-07
31760,Valve Steam Deck,531,Gaming Consoles,PRD031760,1550,3.1,2025-12-06
7580,ASUS VivoBook 9 AMD Ryzen 9,307,Laptops,PRD007580,15615,3.0,2024-08-25
13104,Sony WH-3 Wireless Headphones,111,Headphones,PRD013104,7327,4.8,2024-04-18
25189,Canon EOS 9 Digital Camera,638,Cameras,PRD025189,16677,3.2,2025-06-17
9671,LG Gram 5 Ultra-Lightweight,652,Laptops,PRD009671,46948,4.7,2025-02-12
29214,TCL 3 Inch QLED Android TV,875,TVs,PRD029214,49573,5.0,2024-07-18
23817,Olympus OM-D E-M5,979,Cameras,PRD023817,31675,3.1,2024-06-01
1853,Google Pixel 9,515,Mobile Phones,PRD001853,23137,4.6,2025-01-12
14950,Lenovo Tab MX10 1TBGB,879,Tablets,PRD014950,31316,4.5,2024-07-30
17594,Xiaomi Mi Watch,269,Smartwatches,PRD017594,31548,4.7,2025-04-15
20062,Fossil Gen 15 Smartwatch,345,Smartwatches,PRD020062,20564,3.0,2024-08-29
24391,Olympus OM-D E-M6,113,Cameras,PRD024391,39336,4.1,2024-09-05
31732,PlayStation 14 Slim,337,Gaming Consoles,PRD031732,26969,4.0,2025-09-24
16277,Amazon Fire HD 2 Tablet,279,Tablets,PRD016277,35869,4.2,2024-08-06
18673,OPPO Watch 5 mm,276,Smartwatches,PRD018673,22527,4.1,2025-06-27
33400,Ultimate Ears BOOM 15,883,Speakers,PRD033400,43073,4.5,2025-12-08
15295,ASUS ZenPad 4,592,Tablets,PRD015295,46246,5.0,2025-12-07
30701,PlayStation 6 Slim,295,Gaming Consoles,PRD030701,11892,4.4,2024-05-18
30037,Xbox Series 11,183,Gaming Consoles,PRD030037,24329,3.7,2025-09-10
22613,Canon EOS 2 Digital Camera,683,Cameras,PRD022613,36081,3.4,2025-06-21
11814,Sony WH-11 Wireless Headphones,916,Headphones,PRD011814,40900,3.8,2024-07-26
17300,Nokia T10 Tablet,346,Tablets,PRD017300,8698,3.4,2025-10-09
8646,Surface Laptop 13,406,Laptops,PRD008646,33168,4.5,2024-02-01
16129,Xiaomi Pad 12,523,Tablets,PRD016129,35213,3.2,2024-07-31
28143,Toshiba 11 Inch Smart TV,956,TVs,PRD028143,45591,4.0,2024-01-01
13909,Lenovo Tab MA12 256GB,771,Tablets,PRD013909,21539,4.8,2024-07-21
39526,TP-Link Archer 2 WiFi Router,572,Computer Accessories,PRD039526,38507,4.1,2024-08-30
10044,LG Gram 11 Ultra-Lightweight,900,Laptops,PRD010044,10717,3.8,2025-01-01
23411,Sony Alpha 9 Mirrorless,216,Cameras,PRD023411,38615,4.5,2025-01-25
11959,Samsung Galaxy Buds6,701,Headphones,PRD011959,24358,5.0,2025-08-12
25719,LG 8 Inch OLED TV,865,TVs,PRD025719,5122,3.6,2024-03-28
35003,Harman Kardon Onyx 10,285,Speakers,PRD035003,35970,4.0,2025-10-24
22741,DJI Pocket 5 Gimbal Camera,105,Cameras,PRD022741,37090,3.8,2024-12-11
34173,JBL Flip 9 Bluetooth Speaker,637,Speakers,PRD034173,7441,4.6,2024-02-18
35571,Bang & Olufsen Beosound 1,535,Speakers,PRD035571,12179,3.2,2025-03-12
14130,iPad 12 128GB WiFi,499,Tablets,PRD014130,18731,4.2,2025-01-31
27330,Panasonic 10 Inch LED TV,554,TVs,PRD027330,16517,4.6,2024-06-20
7769,MacBook 15 M9 chip,595,Laptops,PRD007769,5372,4.0,2025-04-12
10242,LG Gram 13 Ultra-Lightweight,996,Laptops,PRD010242,33822,3.1,2025-09-16
16159,Huawei MatePad 11 Pro,354,Tablets,PRD016159,3072,3.7,2024-07-26
16252,Microsoft Surface Go 11,654,Tablets,PRD016252,16087,3.8,2024-10-13
21835,Xiaomi Mi Watch,934,Smartwatches,PRD021835,22195,4.7,2025-05-03
31319,Nintendo Switch Lite,509,Gaming Consoles,PRD031319,8254,4.2,2024-04-04
33417,Bang & Olufsen Beosound 2,864,Speakers,PRD033417,26633,3.7,2025-08-26
13301,Bose QuietComfort 14 Noise Cancelling,164,Headphones,PRD013301,6531,4.7,2025-03-05
15285,Samsung Galaxy Tab A52 64GB,243,Tablets,PRD015285,32209,4.8,2024-05-17
35942,Anker Soundcore 8,948,Speakers,PRD035942,21026,4.6,2025-01-14
23563,Nikon COOLPIX P3,541,Cameras,PRD023563,13516,3.8,2025-11-01
23038,Fujifilm X-T13 Camera,898,Cameras,PRD023038,28126,3.1,2025-12-09
6288,ASUS VivoBook 17 AMD Ryzen 7,204,Laptops,PRD006288,48347,4.1,2024-10-11
6034,HP Pavilion 13 AMD Ryzen 9,435,Laptops,PRD006034,28828,4.4,2024-06-21
25573,Panasonic 4 Inch LED TV,536,TVs,PRD025573,47946,4.5,2024-09-14
23378,Nikon D7 DSLR,841,Cameras,PRD023378,45277,4.3,2024-09-27
31467,Steam Deck 13GB,287,Gaming Consoles,PRD031467,8669,3.5,2024-03-04
18324,TicWatch Pro 13,669,Smartwatches,PRD018324,12928,5.0,2024-08-22
28099,Hisense 5 Inch 4K UHD,398,TVs,PRD028099,49741,5.0,2024-05-26
7491,Surface Laptop 15,371,Laptops,PRD007491,47171,4.7,2025-09-14
2467,Nokia 7 Dual SIM,181,Mobile Phones,PRD002467,31310,3.6,2025-08-23
37247,Dell UltraSharp 13inch Monitor,337,Computer Accessories,PRD037247,17815,3.8,2025-05-10
25956,Toshiba 5 Inch Smart TV,743,TVs,PRD025956,44505,3.1,2025-10-12
14889,iPad 11 1TBGB WiFi,812,Tablets,PRD014889,14654,3.8,2025-10-01
34285,Anker Soundcore 3,317,Speakers,PRD034285,38656,4.6,2025-11-25
6893,Razer Blade 11 Gaming,627,Laptops,PRD006893,13726,4.8,2024-07-21
2213,Nokia 7 Dual SIM,164,Mobile Phones,PRD002213,35435,4.3,2024-08-07
8576,LG Gram 4 Ultra-Lightweight,973,Laptops,PRD008576,2950,4.9,2025-01-12
37517,HP LaserJet Pro M8 Printer,555,Computer Accessories,PRD037517,12066,4.2,2025-04-16
21016,Samsung Galaxy Watch10,100,Smartwatches,PRD021016,46820,3.2,2025-03-26
4930,iPhone X20 256GB,902,Mobile Phones,PRD004930,29913,3.7,2025-12-21
1953,Google Pixel 9,882,Mobile Phones,PRD001953,40197,4.6,2024-01-30
